[mouse] null (code=0, x=182, y=72, time=1762982669011, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982669711, student=Joao, exam=pppo)
[mouse] null (code=0, x=2, y=4, time=1762982669713, student=Joao, exam=pppo)
[mouse] null (code=0, x=2, y=4, time=1762982675305, student=Joao, exam=pppo)
[keyboard] ALT (code=65536, x=0, y=0, time=1762982682527, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982682604, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982684520, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982684535, student=Joao, exam=pppo)
[mouse] null (code=0, x=2, y=4, time=1762982684548, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982688020, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982688021, student=Joao, exam=pppo)
[mouse] null (code=0, x=531, y=112, time=1762982688021, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982688879, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982688880, student=Joao, exam=pppo)
[mouse] null (code=0, x=60, y=270, time=1762982688886, student=Joao, exam=pppo)
[mouse] null (code=0, x=95, y=207, time=1762982689623, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982690095, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982690096, student=Joao, exam=pppo)
[mouse] null (code=0, x=12, y=14, time=1762982690097, student=Joao, exam=pppo)
[mouse] null (code=0, x=220, y=290, time=1762982690719, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982690717, student=Joao, exam=pppo)
[mouse] null (code=0, x=175, y=349, time=1762982691304, student=Joao, exam=pppo)
[keyboard] ALT (code=65536, x=0, y=0, time=1762982692754, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982692808, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982741149, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982741164, student=Joao, exam=pppo)
[mouse] null (code=0, x=227, y=228, time=1762982741170, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982742079, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982742079, student=Joao, exam=pppo)
[mouse] null (code=0, x=227, y=228, time=1762982742080, student=Joao, exam=pppo)
[mouse] null (code=0, x=227, y=228, time=1762982743253, student=Joao, exam=pppo)
[mouse] null (code=0, x=227, y=228, time=1762982744219, student=Joao, exam=pppo)
[mouse] null (code=0, x=227, y=228, time=1762982747246, student=Joao, exam=pppo)
