[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475380937, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475381000, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475381116, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475381179, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475381900, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475382025, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475382085, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475382925, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475383044, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475383106, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475383280, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475383460, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475383764, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475384119, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475384180, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475384371, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475384432, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475384867, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475384934, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475387342, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475387457, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475390172, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475390241, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475390418, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475390539, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475391040, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475391102, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475391449, student=s, exam=s)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765475392043, student=s, exam=s)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765475392110, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475392249, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475392312, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475392369, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475392428, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475392995, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475393055, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475393785, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475393970, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475394288, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475394353, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475394902, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475395077, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475395136, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475395374, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475395479, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475395766, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475395886, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475396444, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475396878, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475396938, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475397172, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475397349, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475397409, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475397587, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475397716, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475398024, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475398096, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475398167, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475398287, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475398404, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475398468, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475398653, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475398769, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475398828, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475398886, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475399119, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475399180, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475399319, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475399491, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475399554, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475399799, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475400100, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475400165, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475400280, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475400355, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475400753, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475400817, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475400987, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475401056, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475401904, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475402431, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475402717, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475402834, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475403064, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475403126, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475403251, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475403394, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475403693, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475403756, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475403887, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475404140, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475404327, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475404389, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475404456, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475404521, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475405178, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475405355, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475405417, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475405597, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475405770, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475405832, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475406123, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475406181, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475406240, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475406297, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475406415, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475406483, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475406835, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475407350, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475407522, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475407753, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475407814, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475407935, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475408107, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475408286, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475408531, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475408648, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475408716, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475408838, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475408903, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475408965, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475409388, student=s, exam=s)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765475409487, student=s, exam=s)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475409551, student=s, exam=s)
