[mouse] null (code=0, x=20, y=10, time=1763076975112, student=tagarela, exam=teste1)
[mouse] null (code=0, x=20, y=10, time=1763076975419, student=tagarela, exam=teste1)
[mouse] null (code=0, x=20, y=10, time=1763076975743, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076976212, student=tagarela, exam=teste1)
[mouse] null (code=0, x=233, y=36, time=1763076976217, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076976693, student=tagarela, exam=teste1)
[mouse] null (code=0, x=498, y=178, time=1763076976695, student=tagarela, exam=teste1)
[mouse] null (code=0, x=500, y=179, time=1763076977138, student=tagarela, exam=teste1)
[mouse] null (code=0, x=500, y=179, time=1763076977412, student=tagarela, exam=teste1)
[mouse] null (code=0, x=500, y=179, time=1763076977644, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076979596, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763076982193, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076982231, student=tagarela, exam=teste1)
[mouse] null (code=0, x=437, y=277, time=1763076982249, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076982382, student=tagarela, exam=teste1)
[mouse] null (code=0, x=437, y=277, time=1763076982386, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763076982383, student=tagarela, exam=teste1)
[mouse] null (code=0, x=437, y=277, time=1763076982448, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076982572, student=tagarela, exam=teste1)
[mouse] null (code=0, x=437, y=277, time=1763076982719, student=tagarela, exam=teste1)
[mouse] null (code=0, x=437, y=277, time=1763076982720, student=tagarela, exam=teste1)
[mouse] null (code=0, x=437, y=277, time=1763076982953, student=tagarela, exam=teste1)
[mouse] null (code=0, x=437, y=277, time=1763076983023, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076983164, student=tagarela, exam=teste1)
[mouse] null (code=0, x=437, y=277, time=1763076983220, student=tagarela, exam=teste1)
[mouse] null (code=0, x=437, y=277, time=1763076983257, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076984809, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763076985707, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076985726, student=tagarela, exam=teste1)
[mouse] null (code=0, x=568, y=318, time=1763076985735, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076986161, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076986672, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076987154, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076987556, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076987999, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076988440, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076988922, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763076988923, student=tagarela, exam=teste1)
[mouse] null (code=0, x=568, y=318, time=1763076988924, student=tagarela, exam=teste1)
[keyboard] null (code=113, x=0, y=0, time=1763076989643, student=tagarela, exam=teste1)
[keyboard] null (code=119, x=0, y=0, time=1763076990053, student=tagarela, exam=teste1)
[keyboard] null (code=113, x=0, y=0, time=1763076990150, student=tagarela, exam=teste1)
[keyboard] null (code=101, x=0, y=0, time=1763076990310, student=tagarela, exam=teste1)
[keyboard] null (code=113, x=0, y=0, time=1763076990525, student=tagarela, exam=teste1)
[keyboard] null (code=119, x=0, y=0, time=1763076990652, student=tagarela, exam=teste1)
[keyboard] null (code=97, x=0, y=0, time=1763076990928, student=tagarela, exam=teste1)
[keyboard] null (code=115, x=0, y=0, time=1763076991128, student=tagarela, exam=teste1)
[keyboard] null (code=100, x=0, y=0, time=1763076991500, student=tagarela, exam=teste1)
[keyboard] null (code=122, x=0, y=0, time=1763076991808, student=tagarela, exam=teste1)
[keyboard] null (code=120, x=0, y=0, time=1763076992033, student=tagarela, exam=teste1)
[keyboard] null (code=99, x=0, y=0, time=1763076992229, student=tagarela, exam=teste1)
[keyboard] null (code=119, x=0, y=0, time=1763076992520, student=tagarela, exam=teste1)
[keyboard] null (code=101, x=0, y=0, time=1763076992947, student=tagarela, exam=teste1)
[mouse] null (code=0, x=568, y=318, time=1763076993300, student=tagarela, exam=teste1)
[mouse] null (code=0, x=568, y=318, time=1763076993685, student=tagarela, exam=teste1)
[mouse] null (code=0, x=568, y=318, time=1763076994168, student=tagarela, exam=teste1)
[mouse] null (code=0, x=568, y=318, time=1763076995233, student=tagarela, exam=teste1)
[mouse] null (code=0, x=468, y=342, time=1763076995648, student=tagarela, exam=teste1)
[mouse] null (code=0, x=431, y=357, time=1763076996031, student=tagarela, exam=teste1)
[mouse] null (code=0, x=431, y=357, time=1763076996082, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076996294, student=tagarela, exam=teste1)
