[mouse] MOUSE (code=0, x=273, y=100, time=1763081442215, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081442228, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081442266, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081442394, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081442545, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=273, y=100, time=1763081442645, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=273, y=100, time=1763081442648, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081442685, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081442706, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081443633, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081445994, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081445987, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081446000, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081445995, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081445999, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081445997, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081446001, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081446007, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081446036, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081446003, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081446050, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=535, y=222, time=1763081446060, student=asdd, exam=asddd)
[keyboard]   (code=32, x=0, y=0, time=1763081446738, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081447163, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=211, y=339, time=1763081447167, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081447635, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081447746, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=211, y=339, time=1763081447808, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=211, y=339, time=1763081447861, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081447867, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081448185, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081448208, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081448320, student=asdd, exam=asddd)
[keyboard]   (code=32, x=0, y=0, time=1763081448435, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081448546, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=211, y=339, time=1763081448599, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081448606, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=211, y=339, time=1763081448621, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081448676, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081478660, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081567069, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081567071, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081567071, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081567072, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081567074, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081567075, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081567080, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081567077, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081567079, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081567095, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=491, y=295, time=1763081567115, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081567102, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=490, y=295, time=1763081567776, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081567772, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081568319, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=210, y=77, time=1763081568324, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=473, y=241, time=1763081569074, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081569070, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=473, y=241, time=1763081569330, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081569664, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=218, y=95, time=1763081569666, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=217, y=86, time=1763081569848, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081570338, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081570881, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081570883, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081571445, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081571794, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081572175, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081572296, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081572461, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081572719, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081572720, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081572958, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081573164, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081573318, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081573419, student=asdd, exam=asddd)
[keyboard] ALT (code=65536, x=0, y=0, time=1763081573561, student=asdd, exam=asddd)
[keyboard] ALT (code=65536, x=0, y=0, time=1763081574244, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081574772, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=217, y=86, time=1763081574774, student=asdd, exam=asddd)
[keyboard] ALT (code=65536, x=0, y=0, time=1763081574984, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=217, y=86, time=1763081575319, student=asdd, exam=asddd)
