[mouse] MOUSE (code=0, x=178, y=311, time=1763429207682, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429208743, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429211884, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=512, y=210, time=1763429211902, student=Anonimo, exam=99)
[keyboard] s (code=115, x=0, y=0, time=1763429212279, student=Anonimo, exam=99)
[keyboard] a (code=97, x=0, y=0, time=1763429212454, student=Anonimo, exam=99)
[keyboard] d (code=100, x=0, y=0, time=1763429212486, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429212680, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=512, y=210, time=1763429212681, student=Anonimo, exam=99)
[keyboard]   (code=32, x=0, y=0, time=1763429212912, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429216085, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429217653, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=46, y=91, time=1763429217674, student=Anonimo, exam=99)
[keyboard] a (code=97, x=0, y=0, time=1763429218038, student=Anonimo, exam=99)
[keyboard] s (code=115, x=0, y=0, time=1763429218134, student=Anonimo, exam=99)
[keyboard] d (code=100, x=0, y=0, time=1763429218223, student=Anonimo, exam=99)
[keyboard]   (code=32, x=0, y=0, time=1763429218280, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429218452, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=46, y=91, time=1763429218453, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=46, y=91, time=1763429218757, student=Anonimo, exam=99)
[keyboard] a (code=97, x=0, y=0, time=1763429218934, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=46, y=91, time=1763429218958, student=Anonimo, exam=99)
[keyboard] d (code=100, x=0, y=0, time=1763429219053, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=46, y=91, time=1763429219167, student=Anonimo, exam=99)
[keyboard] q (code=113, x=0, y=0, time=1763429219181, student=Anonimo, exam=99)
[keyboard] w (code=119, x=0, y=0, time=1763429219201, student=Anonimo, exam=99)
[keyboard] d (code=100, x=0, y=0, time=1763429219284, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=46, y=91, time=1763429219355, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=46, y=91, time=1763429219380, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429220390, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429225705, student=Anonimo, exam=99)
[keyboard] ALT (code=65536, x=0, y=0, time=1763429226564, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429226636, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429228211, student=Anonimo, exam=99)
[keyboard] ALT (code=65536, x=0, y=0, time=1763429228521, student=Anonimo, exam=99)
[keyboard] ALT (code=65536, x=0, y=0, time=1763429229546, student=Anonimo, exam=99)
