[keyboard] null (code=131072, x=0, y=0, time=1762985716976, student=123, exam=123)
[keyboard] null (code=16777296, x=0, y=0, time=1762985717172, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985719143, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985719814, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985722057, student=123, exam=123)
[keyboard] null (code=32, x=0, y=0, time=1762985722313, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985723378, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985724349, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985724534, student=123, exam=123)
[keyboard] null (code=122, x=0, y=0, time=1762985726761, student=123, exam=123)
[keyboard] null (code=120, x=0, y=0, time=1762985727117, student=123, exam=123)
[keyboard] null (code=99, x=0, y=0, time=1762985727519, student=123, exam=123)
[keyboard] null (code=39, x=0, y=0, time=1762985730118, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985730371, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985732324, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985733237, student=123, exam=123)
[keyboard] null (code=49, x=0, y=0, time=1762985733519, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985734109, student=123, exam=123)
[keyboard] null (code=50, x=0, y=0, time=1762985734275, student=123, exam=123)
[keyboard] null (code=49, x=0, y=0, time=1762985735566, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985736591, student=123, exam=123)
[keyboard] null (code=49, x=0, y=0, time=1762985737330, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985758172, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985951404, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985951428, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985951436, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985952160, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985952161, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985952162, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985952779, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985953410, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985954290, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985954759, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985955212, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985955506, student=123, exam=123)
[keyboard] null (code=32, x=0, y=0, time=1762985956408, student=123, exam=123)
[keyboard] null (code=97, x=0, y=0, time=1762985957129, student=123, exam=123)
[keyboard] null (code=115, x=0, y=0, time=1762985957410, student=123, exam=123)
[keyboard] null (code=100, x=0, y=0, time=1762985957683, student=123, exam=123)
[keyboard] null (code=103, x=0, y=0, time=1762985958626, student=123, exam=123)
[keyboard] null (code=46, x=0, y=0, time=1762985959307, student=123, exam=123)
[keyboard] null (code=59, x=0, y=0, time=1762985959623, student=123, exam=123)
[keyboard] null (code=59, x=0, y=0, time=1762985960111, student=123, exam=123)
[keyboard] null (code=93, x=0, y=0, time=1762985963642, student=123, exam=123)
[keyboard] null (code=126, x=0, y=0, time=1762985965050, student=123, exam=123)
[keyboard] null (code=126, x=0, y=0, time=1762985965051, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985966006, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985967331, student=123, exam=123)
[keyboard] null (code=180, x=0, y=0, time=1762985967366, student=123, exam=123)
[keyboard] null (code=180, x=0, y=0, time=1762985967367, student=123, exam=123)
[keyboard] null (code=180, x=0, y=0, time=1762985971026, student=123, exam=123)
[keyboard] null (code=180, x=0, y=0, time=1762985971028, student=123, exam=123)
[keyboard] null (code=47, x=0, y=0, time=1762985973508, student=123, exam=123)
[keyboard] null (code=46, x=0, y=0, time=1762985974086, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985975217, student=123, exam=123)
[keyboard] null (code=47, x=0, y=0, time=1762985975292, student=123, exam=123)
[keyboard] null (code=44, x=0, y=0, time=1762985977132, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985979786, student=123, exam=123)
[keyboard] null (code=65536, x=0, y=0, time=1762985979787, student=123, exam=123)
[keyboard] null (code=47, x=0, y=0, time=1762985980948, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985983448, student=123, exam=123)
[keyboard] null (code=65536, x=0, y=0, time=1762985983448, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985985600, student=123, exam=123)
[keyboard] null (code=65536, x=0, y=0, time=1762985985602, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985986331, student=123, exam=123)
[keyboard] null (code=65536, x=0, y=0, time=1762985986333, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985986987, student=123, exam=123)
[keyboard] null (code=65536, x=0, y=0, time=1762985986988, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985987625, student=123, exam=123)
[keyboard] null (code=65536, x=0, y=0, time=1762985987626, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985989171, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985990550, student=123, exam=123)
[keyboard] null (code=65536, x=0, y=0, time=1762985991035, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985991734, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762986000644, student=123, exam=123)
[mouse] null (code=0, x=553, y=216, time=1762997931014, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997931002, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997930694, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997931000, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997930823, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997932132, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997932133, student=123, exam=123)
[mouse] null (code=0, x=553, y=216, time=1762997932134, student=123, exam=123)
[mouse] null (code=0, x=553, y=216, time=1762997932894, student=123, exam=123)
[mouse] null (code=0, x=553, y=216, time=1762997933466, student=123, exam=123)
[mouse] null (code=0, x=553, y=216, time=1762997934120, student=123, exam=123)
[mouse] null (code=0, x=553, y=216, time=1762997934895, student=123, exam=123)
[mouse] null (code=0, x=553, y=216, time=1762997935351, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997938258, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997938924, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997940001, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997941851, student=123, exam=123)
[keyboard] null (code=65536, x=0, y=0, time=1762997950946, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997951021, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997952391, student=123, exam=123)
[keyboard] null (code=65536, x=0, y=0, time=1762997952688, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997952751, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997962201, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762997962924, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762998532124, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762998532756, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762998532756, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762998532861, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762998533382, student=123, exam=123)
