[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
[heartbeat] null (code=0, x=0, y=0, time=0, student=123, exam=321)
