[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764261848920, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764261849687, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=91, y=347, time=1764261852419, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=91, y=347, time=1764261852587, student=koko, exam=prova1)
[keyboard] CTRL (code=262144, x=0, y=0, time=1764261852903, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=282, y=336, time=1764261857577, student=koko, exam=prova1)
[keyboard] CTRL (code=262144, x=0, y=0, time=1764261858157, student=koko, exam=prova1)
[keyboard] b (code=98, x=0, y=0, time=1764261858725, student=koko, exam=prova1)
[keyboard] BARRA_INVERSA (code=92, x=0, y=0, time=1764261861784, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=5, y=8, time=1764261926752, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764261986055, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764261987582, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=440, y=290, time=1764261988526, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=353, y=342, time=1764261989984, student=koko, exam=prova1)
[keyboard] A (code=97, x=0, y=0, time=1764261990127, student=koko, exam=prova1)
[keyboard] S (code=115, x=0, y=0, time=1764261990253, student=koko, exam=prova1)
[keyboard] D (code=100, x=0, y=0, time=1764261990348, student=koko, exam=prova1)
[keyboard] A (code=97, x=0, y=0, time=1764261990479, student=koko, exam=prova1)
[keyboard] D (code=100, x=0, y=0, time=1764261990633, student=koko, exam=prova1)
[keyboard] S (code=115, x=0, y=0, time=1764261990669, student=koko, exam=prova1)
[keyboard] ALT (code=65536, x=0, y=0, time=1764261994028, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764261996510, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764261998218, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=353, y=342, time=1764262004522, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=353, y=342, time=1764262005655, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=88, y=142, time=1764262072707, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=88, y=142, time=1764262072762, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=67, y=156, time=1764262087205, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=67, y=156, time=1764262087272, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=74, y=169, time=1764262088118, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=74, y=169, time=1764262088172, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=25, y=211, time=1764262093351, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=109, y=254, time=1764262094574, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=109, y=254, time=1764262094637, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=122, y=240, time=1764262096090, student=koko, exam=prova1)
