[focus] null (code=0, x=0, y=0, time=1763000574101, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000574128, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000574132, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000574126, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000574133, student=isac, exam=prova1)
[mouse] null (code=0, x=628, y=199, time=1763000574137, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000574640, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000574641, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000574641, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000574642, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000574643, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000574644, student=isac, exam=prova1)
[mouse] null (code=0, x=629, y=199, time=1763000574645, student=isac, exam=prova1)
[keyboard] null (code=113, x=0, y=0, time=1763000575280, student=isac, exam=prova1)
[keyboard] null (code=119, x=0, y=0, time=1763000575340, student=isac, exam=prova1)
[keyboard] null (code=101, x=0, y=0, time=1763000575370, student=isac, exam=prova1)
[keyboard] null (code=113, x=0, y=0, time=1763000575754, student=isac, exam=prova1)
[keyboard] null (code=119, x=0, y=0, time=1763000575774, student=isac, exam=prova1)
[keyboard] null (code=101, x=0, y=0, time=1763000575813, student=isac, exam=prova1)
[keyboard] null (code=32, x=0, y=0, time=1763000575894, student=isac, exam=prova1)
[keyboard] null (code=113, x=0, y=0, time=1763000576005, student=isac, exam=prova1)
[keyboard] null (code=119, x=0, y=0, time=1763000576035, student=isac, exam=prova1)
[keyboard] null (code=101, x=0, y=0, time=1763000576083, student=isac, exam=prova1)
[keyboard] null (code=32, x=0, y=0, time=1763000576119, student=isac, exam=prova1)
[keyboard] null (code=113, x=0, y=0, time=1763000576229, student=isac, exam=prova1)
[keyboard] null (code=119, x=0, y=0, time=1763000576239, student=isac, exam=prova1)
[keyboard] null (code=101, x=0, y=0, time=1763000576309, student=isac, exam=prova1)
[keyboard] null (code=32, x=0, y=0, time=1763000576392, student=isac, exam=prova1)
[keyboard] null (code=113, x=0, y=0, time=1763000576487, student=isac, exam=prova1)
[mouse] null (code=0, x=364, y=125, time=1763000652265, student=isac, exam=prova1)
[mouse] null (code=0, x=364, y=125, time=1763000672432, student=isac, exam=prova1)
[keyboard] null (code=32, x=0, y=0, time=1763000690496, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000712725, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000712734, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000712735, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000712736, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000712738, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000712737, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000712739, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000712739, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000712739, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000712741, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000998142, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000998144, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000998141, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000998145, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000998133, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000998151, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000998152, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000998149, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000998150, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000998150, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000998153, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000998152, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000999347, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000999363, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000999364, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000999365, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000999366, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000999366, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000999365, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000999367, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000999367, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000999369, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000999368, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000999369, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161716, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161742, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161731, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161742, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161740, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161741, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161733, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161735, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161734, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161743, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161743, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161738, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161962, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161963, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161964, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161965, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161965, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001161997, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763001162613, student=isac, exam=prova1)
