[focus] null (code=0, x=0, y=0, time=1763002529790, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002529792, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002529793, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002529794, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002529795, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002529796, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002529798, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002529798, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002529798, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002531847, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002531856, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002531858, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002531860, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002531860, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002531864, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002531865, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002531866, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002531867, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002531867, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002531868, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002531868, student=Anonimo, exam=Teste)
[keyboard] null (code=65536, x=0, y=0, time=1763002532199, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002532264, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002532273, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002532274, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002532275, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002532276, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002532276, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002532278, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002532278, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002532279, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002532280, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002532281, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002532281, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535909, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535905, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535910, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535912, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535929, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535930, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535924, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535913, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535913, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535912, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535910, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535931, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535904, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535931, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535935, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002535933, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=661, y=279, time=1763002535939, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002537501, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002537522, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002537523, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002537523, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002537528, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002537525, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002537526, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002537526, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002537529, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002537530, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002537530, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002537531, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002544865, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002544873, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002544874, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002544875, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002544876, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002544880, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002544880, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002544881, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002544881, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002544882, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002544882, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002544883, student=Anonimo, exam=Teste)
[keyboard] null (code=65536, x=0, y=0, time=1763002545338, student=Anonimo, exam=Teste)
