[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780026333, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780027267, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780027355, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780027452, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780027854, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780028164, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780028253, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780029262, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780030279, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780031263, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780031360, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780031469, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780031747, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780032596, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780033082, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780033186, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780033381, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] ROSTO_DIREITA (code=0, x=0, y=0, time=1766780033999, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780034113, student=zxz, exam=zxxz)
[vision] ROSTO_DIREITA (code=0, x=0, y=0, time=1766780035027, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780035117, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780035748, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780035822, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780036864, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780037914, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780038984, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780040031, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780041127, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780042203, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780043215, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780044289, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780045362, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780045784, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780045869, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780046871, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780047905, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780048914, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780049993, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780050418, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780050514, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780051551, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780051959, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780052052, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780052232, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780052318, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780052412, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780052491, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780052692, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780052889, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780053930, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780054178, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780054253, student=zxz, exam=zxxz)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780055322, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780055515, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780055711, student=zxz, exam=zxxz)
