[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763085757813, student=440, exam=44440)
[mouse] MOUSE (code=0, x=609, y=262, time=1763085757818, student=440, exam=44440)
[mouse] MOUSE (code=0, x=532, y=221, time=1763085759469, student=440, exam=44440)
[mouse] MOUSE (code=0, x=532, y=221, time=1763085759875, student=440, exam=44440)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763085765362, student=440, exam=44440)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763085770742, student=440, exam=44440)
[mouse] MOUSE (code=0, x=498, y=282, time=1763085770779, student=440, exam=44440)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763085771748, student=440, exam=44440)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763085773252, student=440, exam=44440)
[mouse] MOUSE (code=0, x=26, y=7, time=1763085773278, student=440, exam=44440)
[keyboard] CTRL (code=262144, x=0, y=0, time=1763085774234, student=440, exam=44440)
[mouse] MOUSE (code=0, x=26, y=7, time=1763085778701, student=440, exam=44440)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763085778698, student=440, exam=44440)
[mouse] MOUSE (code=0, x=26, y=7, time=1763085779302, student=440, exam=44440)
[keyboard]   (code=32, x=0, y=0, time=1763085779724, student=440, exam=44440)
[keyboard]   (code=32, x=0, y=0, time=1763085780191, student=440, exam=44440)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763085880151, student=440, exam=44440)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763086817929, student=440, exam=44440)
[keyboard] ALT (code=65536, x=0, y=0, time=1763086820716, student=440, exam=44440)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763086820790, student=440, exam=44440)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763086825453, student=440, exam=44440)
[mouse] MOUSE (code=0, x=573, y=232, time=1763086825502, student=440, exam=44440)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763086830330, student=440, exam=44440)
[mouse] MOUSE (code=0, x=573, y=232, time=1763086830334, student=440, exam=44440)
[keyboard] CAPS_LOCK (code=16777298, x=0, y=0, time=1763086830948, student=440, exam=44440)
[keyboard] CAPS_LOCK (code=16777298, x=0, y=0, time=1763086832081, student=440, exam=44440)
