[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418414464, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418414650, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418414718, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418414907, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418415032, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418415303, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418415398, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418415388, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418415530, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418415783, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418416086, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418416025, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418416208, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418416339, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418416400, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418416525, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418416641, student=a, exam=a)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765418417148, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418417568, student=a, exam=a)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765418417687, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418419489, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418419612, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418419690, student=a, exam=a)
