[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084949028, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084950094, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084950479, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084950726, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084950934, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084951126, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084951327, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084951516, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084951709, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084951872, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084952057, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084952239, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084954130, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084954490, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084954690, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084954868, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084955047, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084955214, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084955721, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084955840, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084955957, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084956113, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084956242, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084956367, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084956443, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084956516, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084956525, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084956597, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084956698, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084956800, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084956909, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084957034, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084959029, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084959535, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084959659, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084959797, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084959903, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084960009, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084960115, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084960194, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084960211, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084960240, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084960399, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084960510, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084960987, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084961237, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084961589, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084962572, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084963077, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084963344, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084963738, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084964099, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084964338, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084964540, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084964725, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084964923, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084965106, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084965279, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084965465, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084965653, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084965807, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084965978, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084966152, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084966330, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084966550, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084966662, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084966855, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084967044, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084967240, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084967632, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084967888, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084968407, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084970180, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084970611, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084971023, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084971439, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084971806, student=qwe, exam=qwe)
